Nper;Element;Ka1;Kb1;La1;Lb1;Ma1;Mb1
3;Li;0,0543;;;;;
4;Be;0,108;;;;;
5;B;0,183;;;;;
6;C;0,277;;;;;
7;N;0,392;;;;;
8;O;0,525;;;;;
9;F;0,677;;;;;
10;Ne;0,849;;;;;
11;Na;1,04;;;;;
12;Mg;1,254;1,302;;;;
13;Al;1,486;1,557;;;;
14;Si;1,74;1,837;;;;
15;P;2,01;2,139;;;;
16;S;2,309;2,465;;;;
17;Cl;2,622;2,812;;;;
18;Ar;2,958;3,19;;;;
19;K;3,314;3,59;;;;
20;Ca;3,692;4,013;0,341;0,345;;
21;Sc;4,093;4,464;0,395;0,4;;
22;Ti;4,512;4,933;0,452;0,458;;
23;V;4,953;5,428;0,51;0,518;;
24;Cr;5,415;5,947;0,572;0,582;;
25;Mn;5,9;6,492;0,637;0,648;;
26;Fe;6,405;7,059;0,705;0,718;;
27;Co;6,931;7,649;0,775;0,79;;
28;Ni;7,48;8,267;0,849;0,866;;
29;Cu;8,046;8,904;0,928;0,947;;
30;Zn;8,637;9,57;1,012;1,035;;
31;Ga;9,251;10,267;1,098;1,125;;
32;Ge;9,886;10,982;1,188;1,218;;
33;As;10,543;11,726;1,282;1,317;;
34;Se;11,224;12,497;1,379;1,419;;
35;Br;11,924;13,292;1,481;1,526;;
36;Kr;12,648;14,112;1,585;1,636;;
37;Rb;13,396;14,961;1,692;1,751;;
38;Sr;14,165;15,835;1,806;1,871;;
39;Y;14,958;16,739;1,924;1,998;;
40;Zr;15,775;17,668;2,044;2,126;;
41;Nb;16,615;18,625;2,169;2,26;;
42;Mo;17,48;19,606;2,292;2,394;;
43;Tc;18,367;20,626;2,423;2,535;;
44;Ru;19,279;21,656;2,558;2,683;;
45;Rh;20,216;22,724;2,697;2,834;;
46;Pd;21,177;23,818;2,838;2,99;;
47;Ag;22,163;24,941;2,983;3,15;;
48;Cd;23,173;26,093;3,133;3,315;;
49;In;24,21;27,275;3,286;3,487;;
50;Sn;25,271;28,485;3,444;3,663;;
51;Sb;26,359;29,725;3,604;3,842;;
52;Te;27,473;30,993;3,768;4,029;;
53;I;28,612;32,294;3,938;4,221;;
54;Xe;29,775;33,62;4,11;4,418;;
55;Cs;30,973;34,982;4,285;4,619;;
56;Ba;32,194;36,378;4,466;4,828;;
57;La;33,442;37,797;4,647;5,038;;
58;Ce;34,72;39,256;4,839;5,262;;
59;Pr;36,027;40,749;5,035;5,492;;
60;Nd;37,361;42,272;5,228;5,719;;
61;Pm;38,725;43,827;5,432;5,961;;
62;Sm;40,118;45,414;5,633;6,201;;
63;Eu;41,542;47,038;5,849;6,458;;
64;Gd;42,996;48,695;6,053;6,708;;
65;Tb;44,482;50,385;6,273;6,975;1,24;1,269
66;Dy;45,999;52,113;6,498;7,248;1,293;1,325
67;Ho;47,547;53,877;6,72;7,526;1,348;1,383
68;Er;49,128;55,674;6,949;7,811;1,404;1,448
69;Tm;50,742;57,505;7,18;8,102;1,462;1,503
70;Yb;52,388;59,382;7,416;8,402;1,526;1,573
71;Lu;54,07;61,29;7,655;8,71;1,58;1,63
72;Hf;55,79;63,244;7,899;9,023;1,646;1,7
73;Ta;57,535;65,222;8,146;9,343;1,712;1,77
74;W;59,318;67,244;8,398;9,672;1,775;1,838
75;Re;61,141;69,309;8,652;10,01;1,843;1,906
76;Os;63;71,414;8,911;10,354;1,907;1,978
77;Ir;64,896;73,56;9,175;10,708;1,98;2,052
78;Pt;66,831;75,75;9,442;11,071;2,05;2,127
79;Au;68,806;77,982;9,713;11,443;2,123;2,203
80;Hg;70,818;80,255;9,989;11,824;2,195;2,281
81;Ti;72,872;82,573;10,269;12,213;2,271;2,363
82;Pb;74,97;84,939;10,551;12,614;2,342;2,444
83;Bi;77,107;87,349;10,839;13,023;2,423;2,526
84;Po;79,291;89,803;11,131;13,446;2,499;2,614
85;At;81,516;92,304;11,427;13,876;2,577;2,699
86;Rn;83,785;94,866;11,727;14,315;2,654;2,784
87;Fr;86,106;97,474;12,031;14,771;2,732;2,868
88;Ra;88,478;100,13;12,339;15,236;2,806;2,949
89;Ac;90,884;102,846;12,652;15,713;2,9;3,051
90;Th;93,351;105,605;12,968;16,202;2,996;3,149
91;Pa;95,868;108,427;13,291;16,703;3,082;3,24
92;U;98,44;111,303;13,614;17,22;3,171;3,336
93;Np;101,059;114,234;13,946;17,751;3,25;3,435
94;Pu;103,734;117,228;14,282;18,296;3,339;3,534
95;Am;106,472;120,284;14,62;18,856;3,438;3,646
